candidate,dev_base_return_mean,validation_base_return_mean,dev_validation_base_return_mean,dev_validation_stress_return_mean,validation_pf_median,validation_drawdown_median,validation_win_rate_mean,score,symbols_positive_validation
ema_v24_r25,-0.043314565116187365,0.0015805114279848,-0.020867026844101286,-0.03373729747204677,1.0532968846357156,-0.0562455813953286,0.3265151515151515,-0.048984791859190385,2
ema_v24,-0.054122470177338795,-0.005546978406321734,-0.029834724291830265,-0.04664819503390827,1.031787237020614,-0.0562455813953285,0.3265151515151515,-0.0644079380878501,2
ema_r25_s24,-0.054607831281437,-0.010233029094414101,-0.03242043018792554,-0.04927227360266719,0.9870942933772516,-0.0643199953756723,0.3121794871794872,-0.06992056606439359,1
ema_v12_r25,-0.09776265876228209,0.0220434627983039,-0.037859597981989096,-0.05544887613715424,1.4151110502680493,-0.0545269221726096,0.3962962962962963,-0.07648942048508814,2
ema_r15_s24,-0.060671572172939725,-0.019319725751456532,-0.03999564896219813,-0.055001389715027195,0.9078138059041488,-0.0579865577181161,0.3555088702147526,-0.07909365536333496,1
ema_v12_r15,-0.0751038579898716,-0.0076184894302401,-0.04136117371005585,-0.06039018901655185,0.9452128685660852,-0.0571441265010211,0.3853609625668449,-0.082985093518536,1
ema_s24,-0.07122039665259387,-0.015788673548953,-0.043504535100773435,-0.06036841218574055,1.0133159409384365,-0.0591464259361694,0.3121794871794872,-0.08551802638087759,2
ema_v12,-0.10451386500442678,0.009779257377509667,-0.04736730381345856,-0.07039759666249253,1.2432776811280155,-0.0545269221726096,0.3865740740740741,-0.09347148657922674,2
ema_r25_s12,-0.0858980337184699,-0.018996143582436,-0.052447088650452944,-0.07792357021807479,0.9421863431760734,-0.071966549787642,0.32487922705314004,-0.10580218371701873,1
ema_r15_s12,-0.08753220787001366,-0.03033907052734833,-0.058935639198681,-0.08993592565387654,0.8281092018851712,-0.0681371766555807,0.3618421052631578,-0.11753103735673541,1
ema_s12,-0.11815087560666461,-0.025444593855154598,-0.07179773473090961,-0.10010336177443464,0.8873664003490522,-0.0568658957044513,0.33498023715415015,-0.13322259475901718,1
baseline,-0.336493784153286,-0.14724279706350815,-0.2418682906083971,-0.3157158144391678,0.6579986618241328,-0.1769212375786892,0.3279333790550356,-0.43511044534371884,0
