candidate,symbol,window,scenario,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
ema_v24_r25,BTCUSDT,oos_1,base,10000.0,9659.01832529642,-0.03409816747035799,0.3076157959111636,-0.3417139633815216,-0.07950505371127758,-0.042701393524255726,-1.4829013400554718,10,0.2,0.3163076147697252,-34.09816747035802,30.9,2025-04-01T00:00:00+00:00,2025-08-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,oos_1,stress,10000.0,9554.804006932587,-0.04451959930674132,0.3050031681686547,-0.349522767475396,-0.10304327009917147,-0.049577946911448345,-2.0311125636080942,10,0.2,0.2256968032453011,-44.51959930674129,30.9,2025-04-01T00:00:00+00:00,2025-08-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,oos_2,base,10000.0,9900.919457639166,-0.00990805423608343,-0.2746091121997467,0.2647010579636633,-0.023497026929139575,-0.03909359044179972,-0.6060397042392266,4,0.25,0.7029417608280681,-24.77013559020861,27.0,2025-09-01T00:00:00+00:00,2026-01-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,oos_2,stress,10000.0,9874.968879117394,-0.012503112088260604,-0.27605844950781233,0.2635553374195517,-0.029597616284914197,-0.04075892047224916,-0.786775101061077,4,0.25,0.647208074489222,-31.25778022065151,31.0,2025-09-01T00:00:00+00:00,2026-01-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,oos_3,base,10000.0,10602.271913446262,0.060227191344626174,-0.20356662388710067,0.26379381523172685,0.12529330834622998,-0.017893228644012993,2.8000933787089877,8,0.75,7.760263672485667,75.28398918078278,23.375,2026-02-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,oos_3,stress,10000.0,10496.354461870733,0.049635446187073384,-0.2051579047052119,0.2547933508922853,0.10271813052955481,-0.020018926262243886,2.138122875442338,8,0.75,4.810314373638694,62.044307733841606,27.625,2026-02-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,oos_1,base,10000.0,9615.838813214077,-0.03841611867859229,1.4031376063305219,-1.4415537250091142,-0.08930073474879552,-0.05925782088832776,-1.7908722779401407,9,0.2222222222222222,0.4432222639613003,-42.68457630954698,26.444444444444443,2025-04-01T00:00:00+00:00,2025-08-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,oos_1,stress,10000.0,9566.96159394417,-0.04330384060558301,1.3983361164747108,-1.4416399570802938,-0.10031556416064524,-0.0625289830609963,-2.022757456325167,9,0.2222222222222222,0.40336009695615854,-48.11537845064777,26.444444444444443,2025-04-01T00:00:00+00:00,2025-08-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,oos_2,base,10000.0,9895.770038588029,-0.010422996141197127,-0.4432630274381043,0.4328400312969072,-0.024709345046933784,-0.011500579360113616,-1.9431744059204052,1,0.0,0.0,-104.22996141197109,17.0,2025-09-01T00:00:00+00:00,2026-01-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,oos_2,stress,10000.0,9892.967832842682,-0.010703216715731823,-0.4443753927554581,0.4336721760397263,-0.02536869536775943,-0.011148890638049802,-2.040181045734637,1,0.0,0.0,-107.03216715731833,17.0,2025-09-01T00:00:00+00:00,2026-01-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,oos_3,base,10000.0,10096.038939444326,0.009603893944432729,-0.24248682230365026,0.252090716248083,0.01947950041830837,-0.03917492849053361,0.4716993379747593,6,0.5,1.4218253938068295,16.00648990738773,34.666666666666664,2026-02-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,oos_3,stress,10000.0,10059.145290845809,0.0059145290845807885,-0.24400034022654027,0.24991486931112106,0.01197396189642097,-0.04055718194149427,0.3067753584237946,6,0.5,1.2466656723704481,9.857548474301439,34.833333333333336,2026-02-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,oos_1,base,10000.0,9787.593238456953,-0.021240676154304694,0.6065128830879039,-0.6277535592422085,-0.04997515657217122,-0.022564035991015752,-2.5428687187363983,2,0.0,0.0,-106.20338077152337,6.5,2025-04-01T00:00:00+00:00,2025-08-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,oos_1,stress,10000.0,9779.168003330804,-0.02208319966691963,0.6033030563634352,-0.6253862560303548,-0.05192679195413208,-0.022667138481624716,-2.5673640437761627,2,0.0,0.0,-110.41599833459804,6.5,2025-04-01T00:00:00+00:00,2025-08-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,oos_2,base,10000.0,9927.95394711834,-0.007204605288166022,-0.4752029244592414,0.46799831917107537,-0.017117981039113772,-0.023741618415289656,-0.7060678061492177,2,0.0,0.0,-36.02302644083011,49.0,2025-09-01T00:00:00+00:00,2026-01-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,oos_2,stress,10000.0,9919.278224595337,-0.008072177540466297,-0.47625147358432274,0.46817929604385644,-0.019167731322437986,-0.023484538723170467,-0.8117089196008819,2,0.0,0.0,-40.36088770233164,49.0,2025-09-01T00:00:00+00:00,2026-01-31T23:00:00+00:00
