candidate,symbol,scenario,fill_bps,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
ema_v24_r25,BTCUSDT,low,7.0,10000.0,10302.109220812936,0.030210922081293612,-0.23925016892778317,0.2694610910090768,0.022575638253038655,-0.07182232834808377,0.50833498067006,22,0.5,1.3749801878627665,13.732237309678897,26.818181818181817,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,base,14.0,10000.0,10139.287925411229,0.013928792541122892,-0.24031447472024936,0.25424326726137225,0.010429407544908953,-0.07905750505335363,0.25073111787607716,22,0.4090909090909091,1.1537222702925403,6.331269336874026,27.454545454545453,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,high,24.0,10000.0,9903.666493635737,-0.00963335063642623,-0.24183233301252038,0.23219898237609415,-0.007234364937114379,-0.0883161237883564,-0.13515347956668167,22,0.4090909090909091,0.9070588952245473,-4.378795743830117,29.727272727272727,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,BTCUSDT,stress,34.0,10000.0,9679.842427861115,-0.032015757213888496,-0.24334716587466954,0.21133140866078104,-0.024111255782824026,-0.09970039788465412,-0.511703222155553,23,0.391304347826087,0.7305313140399219,-13.919894440821103,28.52173913043478,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,low,7.0,10000.0,9568.948030609425,-0.043105196939057566,0.020612140971752124,-0.06371733791080969,-0.03250903298258312,-0.08080377229286584,-0.761982660969495,17,0.29411764705882354,0.5973410962248247,-25.355998199445608,27.647058823529413,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,base,14.0,10000.0,9500.056013736668,-0.04999439862633315,0.019184282076316617,-0.06917868070264976,-0.03773831163131425,-0.08655599343930986,-0.9125256171856324,17,0.29411764705882354,0.5497457823721138,-29.408469780195983,28.11764705882353,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,high,24.0,10000.0,9408.259947202681,-0.05917400527973182,0.017147943009131916,-0.07632194828886374,-0.044720888881721765,-0.09419642010423246,-1.1039919678009347,17,0.29411764705882354,0.49166684562745233,-34.808238399842274,28.176470588235293,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,ETHUSDT,stress,34.0,10000.0,9323.186634691496,-0.0676813365308504,0.015115662819896514,-0.08279699935074691,-0.051207309016346514,-0.10125908947860163,-1.2806476845762536,17,0.29411764705882354,0.4427354174803164,-39.81255090050025,28.235294117647058,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,low,7.0,10000.0,9454.198729517631,-0.05458012704823689,-0.4156584488665691,0.3610783218183322,-0.04122438248392335,-0.0563892445708587,-1.8650228238783944,8,0.0,0.0,-68.22515881029608,19.625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,base,14.0,10000.0,9400.352372048897,-0.059964762795110205,-0.4164759555846099,0.3565111927894997,-0.045323182626684,-0.06123576461108504,-2.0427450420275592,8,0.0,0.0,-74.95595349388782,19.625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,high,24.0,10000.0,9330.190282017835,-0.0669809717982165,-0.41764184170469787,0.3506608699064814,-0.05067275833926843,-0.06753810101947533,-2.245343469189826,8,0.0,0.0,-83.72621474777065,19.625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_v24_r25,SOLUSDT,stress,34.0,10000.0,9269.240252573954,-0.07307597474260452,-0.41880540395370747,0.34572942921110295,-0.05532811702916551,-0.07307597474260452,-2.387016954798341,8,0.0,0.0,-91.3449684282557,19.625,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
